iter	Accuracy	MultiClass
532	0.7734075448	0.6474490702
533	0.7736549165	0.6471998998
534	0.7735312307	0.646815556
535	0.7735312307	0.6463318443
536	0.7748917749	0.6459747579
537	0.7753865182	0.6454946179
538	0.7757575758	0.6451154363
539	0.7763760049	0.6447503781
540	0.7767470625	0.6444384073
541	0.7766233766	0.6439815181
542	0.7772418058	0.6436565712
543	0.7777365492	0.6432222257
544	0.777860235	0.6428575421
545	0.7777365492	0.6424838749
546	0.7776128633	0.6420311082
547	0.7776128633	0.6416514641
548	0.7781076067	0.6412452563
549	0.7784786642	0.6408695415
550	0.7787260359	0.6404699602
551	0.7787260359	0.6400655844
552	0.7787260359	0.6397533968
553	0.7793444651	0.6394960681
554	0.7794681509	0.6391347813
555	0.7795918367	0.6388091885
556	0.7794681509	0.6383931527
557	0.7802102659	0.6379546645
558	0.7804576376	0.6374777371
559	0.7810760668	0.6369919559
560	0.780952381	0.6366457025
561	0.7813234385	0.636365883
562	0.7818181818	0.6359873435
563	0.781694496	0.6357119461
564	0.7820655535	0.635348216
565	0.7825602968	0.6350158916
566	0.7825602968	0.634637431
567	0.782436611	0.6342810465
568	0.7823129252	0.6339994034
569	0.783178726	0.6335754319
570	0.7835497835	0.6332909088
571	0.7844155844	0.6329854649
572	0.7842918986	0.6326261275
573	0.7847866419	0.6323163784
574	0.7844155844	0.6320656332
575	0.7849103278	0.6317443161
576	0.7847866419	0.6313478965
577	0.7849103278	0.6310670101
578	0.7844155844	0.6307819484
579	0.7851576994	0.6304267837
580	0.7854050711	0.6299788112
581	0.7854050711	0.6297469507
582	0.7861471861	0.6293096202
583	0.7861471861	0.6290639823
584	0.7867656153	0.6285905579
585	0.7876314162	0.628188019
586	0.7872603587	0.6278272484
587	0.7873840445	0.6273752708
588	0.7878787879	0.6269810476
589	0.7880024737	0.6266713441
590	0.7881261596	0.6263571823
591	0.7881261596	0.6260414492
592	0.7884972171	0.6256247346
593	0.7891156463	0.6252976696
594	0.7897340754	0.6249044599
595	0.7896103896	0.6245371024
596	0.7898577613	0.6242046043
597	0.7905998763	0.6239040596
598	0.7898577613	0.6235894284
599	0.7905998763	0.6233143658
600	0.7905998763	0.6231184564
601	0.7904761905	0.6227569119
602	0.7903525046	0.6224105464
